Inspection_ID,DBA_Name,AKA_Name,License,Facility_Type,Risk,Address,City,State,Zip,Inspection_Date,Inspection_Type,Results,Violations,Latitude,Longitude,Location,Block_Group_Geo_ID,GeoID,Total,White,Black,American_Indian,Asian,Hispanic,Others
2386542,LA VACA MARGARITA BAR #2,LA VACA MARGARITA BAR #2,2718524,Restaurant,Risk 1 (High),1969 N HALSTED ST ,CHICAGO,IL,60614.0,2020-08-27T00:00:00.000,License,Fail,,41.917916818190015,-87.64835076816347,"(-87.64835076816347, 41.917916818190015)",170310718002,170310718002,650.0,0.816923076923077,0.0,0.0,0.07384615384615385,0.06615384615384616,0.08615384615384615
2386527,LA VACA MARGARITA BAR #2,LA VACA MARGARITA BAR #2,2718522,Restaurant,Risk 1 (High),1969 N HALSTED ST ,CHICAGO,IL,60614.0,2020-08-27T00:00:00.000,License,Fail,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments:  FOUND NO EMPLOYEE HEALTH POLICY/TRAINING ON SITE. INSTRUCTED FACILITY TO ESTABLISH AN APPROPRIATE EMPLOYEE HEALTH POLICY/TRAINING SYSTEM AND MAINTAIN WITH VERIFIABLE DOCUMENTS ON SITE.  PRIORITY FOUNDATION VIOLATION 7-38-010. NO CITATION ISSUED. | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: NEED TO INSTALL HANDWASHING SINK BEHIND BAR AREA AT EAST SITE OF THE COUNTER,OR RELOCATE TWO ICE BINS BY HANDWASHING SINK (WEST AREA OF THE COUNTER) PRIORITY FOUNDATION VIOLATION:7-38-030(C) NO CITATION ISSUED | 25. CONSUMER ADVISORY PROVIDED FOR RAW/UNDERCOOKED FOOD - Comments:  OBSERVED THE ESTABLISHMENT SERVING UNDER COOKED MEAT (CARNE ASADA) WITH NO CONSUMER ADVISORY, DISCLOSURE OR REMINDERS TO THE CUSTOMERS. INSTRUCTED TO HAVE A CONSUMER ADVISORY ON THE MENU WITH A DISCLOSURE NOTICE AND REMINDER STATEMENT.ALSO ADD ON 'COOK TO ORDER' BY CARNE ASADA.  PRIORITY FOUNDATION VIOLATION 7-38-005 NO CITATION ISSUED | 38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: A 1/4' OF GAP AT BASEMENT EXIT DOOR,INSTRUCTED TO SEAL TO MINIMIZE PEST ENTRY | 39. CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments:  STANDING WATER AND RUST ON TOP THE LID OF GREASE TRAP IN DISH ROOM.SURFACE MUST BE SMOOTH AND CLEANABLE | 48. WAREWASHING FACILITIES: INSTALLED, MAINTAINED & USED; TEST STRIPS - Comments: OBSERVED FAUCET AT THREE COMPARTMENT SINK UNABLE TO REACH ALL 3 COMPARTMENTS AT DISH ROOM AND BAR AREA.MUST REPLACE FAUCET SO THAT IT REACHES AND CAN FILL ALL 3 COMPARTMENTS IN ORDER TO PROPERLY WASH RINSE AND SANITIZE EQUIPMENT AND UTENSILS.  PRIORITY FOUNDATION VIOLATION 7-38-025 NO CITATION ISSUED | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: COOKING EQUIPMENT IN PREP AREA NEEDS ADDITIONAL CLEANING:GREASE AND DUST BUILD-UP | 50. HOT & COLD WATER AVAILABLE; ADEQUATE PRESSURE - Comments: NO HOT WATER PROVIDED THROUGHOUT THE PREMISES,PRESENT TEMPERATURE OF 73.5F.HOT WATER MUST MAINTAIN TEMP OF 100F TO 12OF. INSTRUCTED TO REPAIR ISSUE PRIORITY VIOLATION CITATION:7-38-030(C) NO CITATION ISSUED | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: NO LIDS PROVIDED AT RECEPTACLES INSIDE THE WOMEN'S WASHROOM AND STAFF WASHROOM IN THE BASEMENT, INSTRUCTED TO PROVIDE. | 54. GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED - Comments: NO OUTSIDE RECEPTACLE PROVIDED ON SITE.INSTRUCTED TO PROVIDE PRIORITY FOUNDATION VIOLATION:7-38-020(B),NO CITATION ISSUED | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: GROUT REMOVED FROM FLOOR IN PREP AREA,REPAIR CAUSE. SURFACE MUST BE SMOOTH CLEANABLE AND NON-ABSORBENT MATERIAL. RUSTY FLOOR INSIDE THE WALK-IN COOLER,NOT EASILY CLEANABLE.SURFACE MUST BE SMOOTH CLEANABLE AND NON-ABSORBENT MATERIAL. PEELING PAINT IN BASEMENT FLOOR ,INSTRUCTED TO RE-PAINT.MISSING FLOOR TILES BETWEEN THE MAIN FRONT DOOR AND SECONDARY DOOR,REPLACE SAID TILES. HOLES ON WALLS IN THE KITCHEN AND BASEMENT,PEELING PAINT  IN BASEMENT AREA. MUST REPAIR SMOOTHLY. MISSING CEILING TILES IN BASEMENT REPLACE | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: NO VENTILATION PROVIDED IN ALL THREE WASHROOMS,MUST PROVIDE | 58. ALLERGEN TRAINING AS REQUIRED - Comments:  NO ALLERGEN TRAINING CERTIFICATES PROVIDED ON SITE. INSTRUCTED TO PROVIDE FOR ALL CERTIFIED FOOD SERVICE MANAGERS",41.917916818190015,-87.64835076816347,"(-87.64835076816347, 41.917916818190015)",170310718002,170310718002,650.0,0.816923076923077,0.0,0.0,0.07384615384615385,0.06615384615384616,0.08615384615384615
2386526,TOPDRAWER SHOP,TOPDRAWER SHOP,2749123,Grocery Store,Risk 3 (Low),1463 N MILWAUKEE AVE ,CHICAGO,IL,60622.0,2020-08-27T00:00:00.000,License,Pass w/ Conditions,5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO KIT AND PROCEDURE ON SITE FOR RESPONDING TO VOMIT AND DIARRHEA. LEFT ONE PAGER AND INSTRUCTED TO MAINTAIN A PROCEDURE AND KIT CONTAINING ALL NECESSARY SUPPLIES INCLUDING A SANITIZER RATED AS EFFECTIVE AGAINST NOROVIRUS FOR RESPONDING TO VOMIT AND DIARRHEA ON SITE AT ALL TIMES. PRIORITY FOUNDATION VIOLATION 7-38-005. NO CITATION ISSUED. ,41.90858170240267,-87.67443567986506,"(-87.67443567986506, 41.90858170240267)",170312415003,170312415003,826.0,0.7336561743341404,0.044794188861985475,0.0,0.1016949152542373,0.1198547215496368,0.0
2385893,PIECE OUT,PIECE OUT,1879140,Restaurant,Risk 1 (High),1923 W NORTH AVE ,CHICAGO,IL,60622.0,2020-08-10T00:00:00.000,Canvass Re-Inspection,Pass,,41.91039968165606,-87.67601118847784,"(-87.67601118847784, 41.91039968165606)",170312415003,170312415003,826.0,0.7336561743341404,0.044794188861985475,0.0,0.1016949152542373,0.1198547215496368,0.0
2385854,CINNAHOLIC CHICAGO,CINNAHOLIC CHICAGO,2744910,,Risk 1 (High),1295 N MILWAUKEE ,CHICAGO,IL,60622.0,2020-08-07T00:00:00.000,License,Not Ready,,41.90532563092253,-87.66932199673825,"(-87.66932199673823, 41.90532563092253)",170312415003,170312415003,826.0,0.7336561743341404,0.044794188861985475,0.0,0.1016949152542373,0.1198547215496368,0.0
2385794,PIECE OUT,PIECE OUT,1879140,Restaurant,Risk 1 (High),1923 W NORTH AVE ,CHICAGO,IL,60622.0,2020-08-06T00:00:00.000,Canvass,Fail,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED ONLY WASHBOWL SINK IN EMPLOYEE TOILET ROOM MAINTAINING IMPROPER MAXIMUM TEMPERATURE OF 70.0F. INSTRUCTED TO REPAIR SO THAT WASHBOWL MAINTAINS A MINIMUM TEMPERATURE OF 100F UNDER PRESSURE. PRIORITY VIOLATION 7-38-030(C). CITATION ISSUED.  | 10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HAND WASHING SIGNAGE AT WASHBOWL LOCATED IN EMPLOYEE TOILET ROOM. INSTRUCTED TO PROVIDE.  | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED TORN GASKET ON DOOR TO WALK-IN COOLER. INSTRUCTED TO REPAIR OR REPLACE AND MAINTAIN. | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED UNGUARDED LIGHT BULB IN CEILING OF EMPLOYEE TOILET ROOM. INSTRUCTED TO COVER AND MAINTAIN. ",41.91039968165606,-87.67601118847784,"(-87.67601118847784, 41.91039968165606)",170312415003,170312415003,826.0,0.7336561743341404,0.044794188861985475,0.0,0.1016949152542373,0.1198547215496368,0.0
2385797,PIECE,PIECE,1118829,Restaurant,Risk 1 (High),1927 W NORTH AVE ,CHICAGO,IL,60622.0,2020-08-06T00:00:00.000,Canvass,Pass,,41.910397185945115,-87.6761810963592,"(-87.6761810963592, 41.910397185945115)",170312415003,170312415003,826.0,0.7336561743341404,0.044794188861985475,0.0,0.1016949152542373,0.1198547215496368,0.0
2385816,DEVIL DAWGS,DEVIL DAWGS,2495794,Restaurant,Risk 1 (High),1431 N MILWAUKEE AVE ,CHICAGO,IL,60622.0,2020-08-06T00:00:00.000,Canvass,Pass w/ Conditions,"3. MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING - Comments: OBSERVED NO VERIFIABLE HEALTH POLICY ON SITE AT TIME OF INSPECTION. LEFT TEMPLATE AND INSTRUCTED TO MAINTAIN COPIES OF HEALTH POLICY SIGNED BY ALL EMPLOYEES ON SITE AT ALL TIMES. PRIORITY FOUNDATION VIOLATION 7-38-010. CITATION ISSUED.  | 5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO KIT FOR RESPONDING TO VOMIT AND DIARRHEA ON SITE AT TIME OF INSPECTION. LEFT ONE PAGER AND INSTRUCTED TO MAINTAIN A KIT WITH ALL NECESSARY SUPPLIES INCLUDING A SANITIZER RATED AS EFFECTIVE AGAINST NOROVIRUS ON SITE AT ALL TIMES. PRIORITY FOUNDATION VIOLATION 7-38-005. CITATION ISSUED.  | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED BLACK SLIME IN CAULK AROUND 3 COMPARTMENT SINK LOCATED IN REAR DISH WASHING AREA. INSTRUCTED TO REMOVE CAULK, CLEAN, RE-CAULK, AND MAINTAIN. ",41.90797060799855,-87.67347639535005,"(-87.67347639535005, 41.90797060799855)",170312415003,170312415003,826.0,0.7336561743341404,0.044794188861985475,0.0,0.1016949152542373,0.1198547215496368,0.0
2385639,Red Mango Cafe,Red Mango Cafe,2600452,Restaurant,Risk 2 (Medium),1513 N Milwaukee AVE ,CHICAGO,IL,60622.0,2020-08-03T00:00:00.000,Canvass,No Entry,,41.90903765406101,-87.67514592249044,"(-87.67514592249044, 41.90903765406101)",170312415003,170312415003,826.0,0.7336561743341404,0.044794188861985475,0.0,0.1016949152542373,0.1198547215496368,0.0
2385446,OIISTAR,OIISTAR,2146279,Restaurant,Risk 1 (High),1385 N MILWAUKEE AVE ,CHICAGO,IL,60622.0,2020-07-28T00:00:00.000,Canvass,Pass,"53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED NO COVERED TRASH RECEPTACLE IN WOMEN'S TOILET ROOM. INSTRUCTED TO PROVIDE. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED BLACK SLIME ON CAULK AT 3 COMPARTMENT SINK LOCATED IN REAR DISH WASHING AREA. INSTRUCTED TO REMOVE, CLEAN, RE-CAULK, AND MAINTAIN.  | 56. ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED - Comments: OBSERVED UNPROTECTED LIGHT BULB ABOVE 3 COMPARTMENT SINK LOCATED IN REAR DISH WASHING AREA. INSTRUCTED TO COVER AND MAINTAIN. ",41.90707242599497,-87.67206836082994,"(-87.67206836082993, 41.90707242599497)",170312415003,170312415003,826.0,0.7336561743341404,0.044794188861985475,0.0,0.1016949152542373,0.1198547215496368,0.0
