"color_cluster_list","mean_gain_list","violation_found_list","demographic_list","demographic_sums","demographic_gain_list"
"blue","26.8909090909091","110","White",59.9990484958839,24.1623108496098
"blue","26.8909090909091","110","Black",13.923548953543,34.2107083017661
"blue","26.8909090909091","110","Asian",17.1510376258431,22.4527422327865
"blue","26.8909090909091","110","Hispanic",15.5723277463867,36.1219868276834
"blue","26.8909090909091","110","American_Indian",0.0490894968264354,17.1747431159308
"blue","26.8909090909091","110","Others",3.30494768151683,25.2698474432059
"orange","33.304347826087","46","White",10.6934347198486,27.1915141392617
"orange","33.304347826087","46","Black",8.31428914767906,30.5410578254175
"orange","33.304347826087","46","Asian",2.01283524319449,26.5642589224818
"orange","33.304347826087","46","Hispanic",23.3314058985409,37.0113939460933
"orange","33.304347826087","46","American_Indian",0.015233928739053,17.9323565101462
"orange","33.304347826087","46","Others",0.632801061997903,31.6554796564314
"brown","14.6666666666667","3","White",0.597880866022742,4.63666066121877
"brown","14.6666666666667","3","Black",1.01799625657628,22.0455059320455
"brown","14.6666666666667","3","Asian",0.0872407986594399,12.5597700699957
"brown","14.6666666666667","3","Hispanic",1.28838349517213,13.7170844880151
"brown","14.6666666666667","3","American_Indian",0,NA
"brown","14.6666666666667","3","Others",0.0084985835694051,2
"yellow","25.6","20","White",7.86396560295256,29.4284211039133
"yellow","25.6","20","Black",3.45791534510325,28.5782738705215
"yellow","25.6","20","Asian",5.99753473726551,19.834992850732
"yellow","25.6","20","Hispanic",2.18052525044422,23.764610254472
"yellow","25.6","20","American_Indian",0.0302866414277988,27
"yellow","25.6","20","Others",0.469772422806667,21.6200989288231
"green","28.15","40","White",19.1147474035318,27.0043215723182
"green","28.15","40","Black",2.76379840122536,29.3057997250044
"green","28.15","40","Asian",5.17746951876002,23.5227278457949
"green","28.15","40","Hispanic",11.8588105223971,31.0066045426419
"green","28.15","40","American_Indian",0.0301494884147975,18.8468011006498
"green","28.15","40","Others",1.05502466567089,36.7441796679926
"purple","21.8636363636364","44","White",27.7015035882881,21.5194045740846
"purple","21.8636363636364","44","Black",5.52258859922096,22.9265479035936
"purple","21.8636363636364","44","Asian",3.87883501368119,19.898341778158
"purple","21.8636363636364","44","Hispanic",5.50800566570544,23.4276792087472
"purple","21.8636363636364","44","American_Indian",0.146977681256166,8.28072483824476
"purple","21.8636363636364","44","Others",1.24208945184812,25.6237491580544
"all","26.2205323193916","263","White",125.970580676528,22.9048399434449
"all","26.2205323193916","263","Black",35.0001367033479,29.4817575850611
"all","26.2205323193916","263","Asian",34.3049529374037,20.8934163083669
"all","26.2205323193916","263","Hispanic",59.7394585786465,34.0385042786976
"all","26.2205323193916","263","American_Indian",0.271737236664251,12.9501543382898
"all","26.2205323193916","263","Others",6.71313386740981,25.7837771385438
"all color","26.2205323193916","263","blue",110,23.4454545454545
"all color","26.2205323193916","263","orange",46,36.0869565217391
"all color","26.2205323193916","263","brown",3,27
"all color","26.2205323193916","263","yellow",20,26.7
"all color","26.2205323193916","263","green",40,31.65
"all color","26.2205323193916","263","purple",44,17.6363636363636
"default","28.3802281368821","263","White",125.970580676528,29.4285562801631
"default","28.3802281368821","263","Black",35.0001367033479,29.8504025432188
"default","28.3802281368821","263","Asian",34.3049529374037,24.560365182637
"default","28.3802281368821","263","Hispanic",59.7394585786465,27.5198261073806
"default","28.3802281368821","263","American_Indian",0.271737236664251,39.3555004259445
"default","28.3802281368821","263","Others",6.71313386740981,29.0242191827489
"default color","28.3802281368821","263","blue",110,27.5181818181818
"default color","28.3802281368821","263","orange",46,28.304347826087
"default color","28.3802281368821","263","brown",3,38.3333333333333
"default color","28.3802281368821","263","yellow",20,31.25
"default color","28.3802281368821","263","green",40,23.825
"default color","28.3802281368821","263","purple",44,32.7727272727273
