"color_cluster_list","mean_gain_list","violation_found_list","demographic_list","demographic_sums","demographic_gain_list"
"blue","18.8842105263158","95","White",49.0968861485125,16.4040566954974
"blue","18.8842105263158","95","Black",15.4878287133363,22.704106119263
"blue","18.8842105263158","95","Asian",11.0345989578214,19.7524149610864
"blue","18.8842105263158","95","Hispanic",16.9472471165637,22.2284405823368
"blue","18.8842105263158","95","American_Indian",0.155443449219573,12.7859262252738
"blue","18.8842105263158","95","Others",2.27799561454654,17.698123535761
"orange","16.6111111111111","36","White",14.1372693438789,13.6135231012812
"orange","16.6111111111111","36","Black",6.54484476356048,25.9568994443721
"orange","16.6111111111111","36","Asian",1.51991159736982,12.7950409238078
"orange","16.6111111111111","36","Hispanic",12.5156001001005,15.6097279179865
"orange","16.6111111111111","36","American_Indian",0,NA
"orange","16.6111111111111","36","Others",1.28237419509032,16.2555020908129
"brown","27","3","White",0.142798071036549,36.7666879771351
"brown","27","3","Black",1.10255494574343,11.8149272608163
"brown","27","3","Asian",0.00886524822695036,9
"brown","27","3","Hispanic",1.72906440976511,35.8719159191989
"brown","27","3","American_Indian",0,NA
"brown","27","3","Others",0.0167173252279635,37
"yellow","18.5","16","White",8.25233090842404,16.1509413064032
"yellow","18.5","16","Black",4.75487838136563,20.6634649785407
"yellow","18.5","16","Asian",1.48985470103918,21.3113923661324
"yellow","18.5","16","Hispanic",1.14484620738732,22.6979580214731
"yellow","18.5","16","American_Indian",0,NA
"yellow","18.5","16","Others",0.358089801783824,18.7893529898013
"green","15.3125","16","White",6.71658275248724,13.3121282529318
"green","15.3125","16","Black",2.74638895392366,18.2044122729797
"green","15.3125","16","Asian",2.04475419994069,12.0899558368003
"green","15.3125","16","Hispanic",3.97258085868875,18.1392819184646
"green","15.3125","16","American_Indian",0,NA
"green","15.3125","16","Others",0.519693234959657,16.9539249147899
"purple","23.8918918918919","37","White",19.661021830916,23.6888362277451
"purple","23.8918918918919","37","Black",6.06109769288312,25.3218220434943
"purple","23.8918918918919","37","Asian",4.69974182561804,21.9278067618382
"purple","23.8918918918919","37","Hispanic",5.55536839873314,24.9434165736373
"purple","23.8918918918919","37","American_Indian",0.068799042009152,25.4803645512254
"purple","23.8918918918919","37","Others",0.953971209840522,22.429726333141
"all","18.0295566502463","203","White",98.0068890552552,15.7286545830959
"all","18.0295566502463","203","Black",36.6975934508126,21.9404697655582
"all","18.0295566502463","203","Asian",20.7977265300161,17.0172090037598
"all","18.0295566502463","203","Hispanic",41.8647070912385,20.5727305098912
"all","18.0295566502463","203","American_Indian",0.224242491228725,13.9169141581088
"all","18.0295566502463","203","Others",5.40884138144883,17.5656281041475
"all color","18.0295566502463","203","blue",95,16.6210526315789
"all color","18.0295566502463","203","orange",36,20.75
"all color","18.0295566502463","203","brown",3,33.3333333333333
"all color","18.0295566502463","203","yellow",16,19.0625
"all color","18.0295566502463","203","green",16,16.0625
"all color","18.0295566502463","203","purple",37,18.1621621621622
"default","19.9014778325123","203","White",98.0068890552552,21.1765673655191
"default","19.9014778325123","203","Black",36.6975934508126,18.0472387103004
"default","19.9014778325123","203","Asian",20.7977265300161,18.7874197857432
"default","19.9014778325123","203","Hispanic",41.8647070912385,19.228853557155
"default","19.9014778325123","203","American_Indian",0.224242491228725,22.1407420898988
"default","19.9014778325123","203","Others",5.40884138144883,18.7747133686233
"default color","19.9014778325123","203","blue",95,20.2421052631579
"default color","19.9014778325123","203","orange",36,16.8333333333333
"default color","19.9014778325123","203","brown",3,20.6666666666667
"default color","19.9014778325123","203","yellow",16,20.875
"default color","19.9014778325123","203","green",16,20.5625
"default color","19.9014778325123","203","purple",37,21.2432432432432
