"color_cluster_list","mean_gain_list","violation_found_list","demographic_list","demographic_sums","demographic_gain_list"
"purple","25.6","55","White",37.3132566427217,24.2098015783733
"purple","25.6","55","Black",4.24970445307777,31.3091108751186
"purple","25.6","55","Asian",5.15762277237492,27.8520776989105
"purple","25.6","55","Hispanic",6.44153069527168,28.2607107949669
"purple","25.6","55","American_Indian",0.101635741548766,42.193804879444
"purple","25.6","55","Others",1.7362496950052,23.969966846992
"purple","25.6","55","NorthSide",30,20.4666666666667
"purple","25.6","55","FarNorthSide",25,31.76
"purple","25.6","55","FarSoutheastSide",0,NA
"purple","25.6","55","SouthSide",0,NA
"purple","25.6","55","CentralChicago",0,NA
"purple","25.6","55","FarSouthwestSide",0,NA
"purple","25.6","55","SouthwestSide",0,NA
"purple","25.6","55","WestSide",0,NA
"purple","25.6","55","NorthwestSide",0,NA
"blue","31.3577235772358","123","White",55.2770131721653,28.9680015477256
"blue","31.3577235772358","123","Black",17.1500597548013,33.7148734112969
"blue","31.3577235772358","123","Asian",9.27967975951364,28.5214657840832
"blue","31.3577235772358","123","Hispanic",37.5745478521206,34.6779863550884
"blue","31.3577235772358","123","American_Indian",0.11115315334402,21.3776015571281
"blue","31.3577235772358","123","Others",3.6075463080552,29.7896076120014
"blue","31.3577235772358","123","NorthSide",67,31.865671641791
"blue","31.3577235772358","123","FarNorthSide",36,30.1944444444444
"blue","31.3577235772358","123","FarSoutheastSide",2,33
"blue","31.3577235772358","123","SouthSide",4,18.75
"blue","31.3577235772358","123","CentralChicago",0,NA
"blue","31.3577235772358","123","FarSouthwestSide",1,25
"blue","31.3577235772358","123","SouthwestSide",2,31
"blue","31.3577235772358","123","WestSide",11,37
"blue","31.3577235772358","123","NorthwestSide",0,NA
"orange","35.7868020304569","197","White",60.8783120250859,32.0084806666705
"orange","35.7868020304569","197","Black",59.1919772404427,41.9839244541771
"orange","35.7868020304569","197","Asian",10.5058504839553,33.615587153017
"orange","35.7868020304569","197","Hispanic",63.0977334519201,34.0852258089115
"orange","35.7868020304569","197","American_Indian",0.0348417124883802,24.2371276060472
"orange","35.7868020304569","197","Others",3.29128508610771,33.8958596778847
"orange","35.7868020304569","197","NorthSide",0,NA
"orange","35.7868020304569","197","FarNorthSide",20,27.8
"orange","35.7868020304569","197","FarSoutheastSide",40,41.65
"orange","35.7868020304569","197","SouthSide",13,44.3076923076923
"orange","35.7868020304569","197","CentralChicago",23,33.5217391304348
"orange","35.7868020304569","197","FarSouthwestSide",10,17.8
"orange","35.7868020304569","197","SouthwestSide",55,36.6
"orange","35.7868020304569","197","WestSide",15,27.2666666666667
"orange","35.7868020304569","197","NorthwestSide",21,41.9523809523809
"green","33.0327868852459","244","White",121.338770117075,30.2367000418951
"green","33.0327868852459","244","Black",24.9967471990806,35.6945686093419
"green","33.0327868852459","244","Asian",41.232142946206,33.744324403709
"green","33.0327868852459","244","Hispanic",49.4875743092587,38.0404917557988
"green","33.0327868852459","244","American_Indian",0.377548187512336,29.8498160665725
"green","33.0327868852459","244","Others",6.56721724086757,32.5428069233674
"green","33.0327868852459","244","NorthSide",30,40.3
"green","33.0327868852459","244","FarNorthSide",44,33.8409090909091
"green","33.0327868852459","244","FarSoutheastSide",0,NA
"green","33.0327868852459","244","SouthSide",19,40.3684210526316
"green","33.0327868852459","244","CentralChicago",112,26.8928571428571
"green","33.0327868852459","244","FarSouthwestSide",0,NA
"green","33.0327868852459","244","SouthwestSide",0,NA
"green","33.0327868852459","244","WestSide",16,39.375
"green","33.0327868852459","244","NorthwestSide",23,41.4347826086956
"yellow","30.0666666666667","90","White",45.1427658290646,30.6215688232219
"yellow","30.0666666666667","90","Black",11.5329410630781,29.0608212795144
"yellow","30.0666666666667","90","Asian",18.2668888381916,26.0423879566178
"yellow","30.0666666666667","90","Hispanic",12.3298512557221,35.3592577484053
"yellow","30.0666666666667","90","American_Indian",0.0453823521753847,54.1141709695927
"yellow","30.0666666666667","90","Others",2.6821706617682,27.7228173782969
"yellow","30.0666666666667","90","NorthSide",15,41.0666666666667
"yellow","30.0666666666667","90","FarNorthSide",0,NA
"yellow","30.0666666666667","90","FarSoutheastSide",0,NA
"yellow","30.0666666666667","90","SouthSide",0,NA
"yellow","30.0666666666667","90","CentralChicago",4,28.25
"yellow","30.0666666666667","90","FarSouthwestSide",0,NA
"yellow","30.0666666666667","90","SouthwestSide",0,NA
"yellow","30.0666666666667","90","WestSide",71,27.8450704225352
"yellow","30.0666666666667","90","NorthwestSide",0,NA
"brown","30.5470085470085","117","White",32.9542962509653,30.9887855490249
"brown","30.5470085470085","117","Black",32.1652352803766,33.2614542277761
"brown","30.5470085470085","117","Asian",6.90990406459632,30.2945645856475
"brown","30.5470085470085","117","Hispanic",42.8592690295066,28.2974950148651
"brown","30.5470085470085","117","American_Indian",0.0983948853449594,27.3661350971749
"brown","30.5470085470085","117","Others",2.01290048921017,28.8582100671599
"brown","30.5470085470085","117","NorthSide",0,NA
"brown","30.5470085470085","117","FarNorthSide",33,30.8181818181818
"brown","30.5470085470085","117","FarSoutheastSide",0,NA
"brown","30.5470085470085","117","SouthSide",0,NA
"brown","30.5470085470085","117","CentralChicago",1,44
"brown","30.5470085470085","117","FarSouthwestSide",11,36.6363636363636
"brown","30.5470085470085","117","SouthwestSide",57,28.2631578947368
"brown","30.5470085470085","117","WestSide",2,31.5
"brown","30.5470085470085","117","NorthwestSide",13,33.5384615384615
"all","32.7384987893462","826","White",352.904414037078,29.9484048620987
"all","32.7384987893462","826","Black",149.286664990857,37.7304272733962
"all","32.7384987893462","826","Asian",91.3520888648378,30.2393136005631
"all","32.7384987893462","826","Hispanic",211.7905065938,35.133460019262
"all","32.7384987893462","826","American_Indian",0.768956032413846,30.2701919894218
"all","32.7384987893462","826","Others",19.897369481014,30.8478901796899
"all color","32.7384987893462","826","purple",55,27.8
"all color","32.7384987893462","826","blue",123,37.7886178861789
"all color","32.7384987893462","826","orange",197,33.6954314720812
"all color","32.7384987893462","826","green",244,29.0614754098361
"all color","32.7384987893462","826","yellow",90,29.4333333333333
"all color","32.7384987893462","826","brown",117,38.3504273504274
"all location","32.7384987893462","826","NorthSide",142,34.9014084507042
"all location","32.7384987893462","826","FarNorthSide",158,33.3227848101266
"all location","32.7384987893462","826","FarSoutheastSide",42,39.5
"all location","32.7384987893462","826","SouthSide",36,37.4166666666667
"all location","32.7384987893462","826","CentralChicago",140,24.55
"all location","32.7384987893462","826","FarSouthwestSide",22,31.0909090909091
"all location","32.7384987893462","826","SouthwestSide",114,35.719298245614
"all location","32.7384987893462","826","WestSide",115,29.4869565217391
"all location","32.7384987893462","826","NorthwestSide",57,39.140350877193
"default","32.7384987893462","826","White",352.904414037078,31.6925598892107
"default","32.7384987893462","826","Black",149.286664990857,33.3097304235965
"default","32.7384987893462","826","Asian",91.3520888648378,32.0779642600753
"default","32.7384987893462","826","Hispanic",211.7905065938,34.3006970970498
"default","32.7384987893462","826","American_Indian",0.768956032413846,30.9504738309648
"default","32.7384987893462","826","Others",19.897369481014,33.4771160058596
"default color","32.7384987893462","826","purple",55,25.6
"default color","32.7384987893462","826","blue",123,31.3577235772358
"default color","32.7384987893462","826","orange",197,35.7868020304569
"default color","32.7384987893462","826","green",244,33.0327868852459
"default color","32.7384987893462","826","yellow",90,33.0666666666667
"default color","32.7384987893462","826","brown",117,31.5470085470085
