"color_cluster_list","mean_gain_list","violation_found_list","demographic_list","demographic_sums","demographic_gain_list"
"purple","24.1388888888889","36","White",25.3561206569004,24.3139769991801
"purple","24.1388888888889","36","Black",1.72067370612812,25.6180245813382
"purple","24.1388888888889","36","Asian",4.56872171874178,21.4602640928551
"purple","24.1388888888889","36","Hispanic",3.13728299882206,26.6209314385482
"purple","24.1388888888889","36","American_Indian",0.0571285652190538,25.5674593959594
"purple","24.1388888888889","36","Others",1.16007235418862,21.8844985232652
"purple","24.1388888888889","36","NorthSide",8,25.5
"purple","24.1388888888889","36","FarNorthSide",6,22.3333333333333
"purple","24.1388888888889","36","FarSoutheastSide",0,NA
"purple","24.1388888888889","36","SouthSide",0,NA
"purple","24.1388888888889","36","CentralChicago",22,24.1363636363636
"purple","24.1388888888889","36","FarSouthwestSide",0,NA
"purple","24.1388888888889","36","SouthwestSide",0,NA
"purple","24.1388888888889","36","WestSide",0,NA
"purple","24.1388888888889","36","NorthwestSide",0,NA
"blue","26.3333333333333","69","White",31.8100269477478,28.3930071868341
"blue","26.3333333333333","69","Black",14.0209000609892,29.0847079357171
"blue","26.3333333333333","69","Asian",9.18264497392806,19.512694874362
"blue","26.3333333333333","69","Hispanic",12.1332058496552,23.2602135640126
"blue","26.3333333333333","69","American_Indian",0.144512734854377,16.1669994898643
"blue","26.3333333333333","69","Others",1.70870943282545,24.7487642260562
"blue","26.3333333333333","69","NorthSide",26,34.3461538461538
"blue","26.3333333333333","69","FarNorthSide",11,14.3636363636364
"blue","26.3333333333333","69","FarSoutheastSide",3,42.6666666666667
"blue","26.3333333333333","69","SouthSide",8,18.75
"blue","26.3333333333333","69","CentralChicago",0,NA
"blue","26.3333333333333","69","FarSouthwestSide",3,40
"blue","26.3333333333333","69","SouthwestSide",2,24
"blue","26.3333333333333","69","WestSide",9,14.6666666666667
"blue","26.3333333333333","69","NorthwestSide",7,26.8571428571429
"orange","26","39","White",15.3699491381661,30.5168656376517
"orange","26","39","Black",3.86223759386571,31.2007892578638
"orange","26","39","Asian",10.3052117036168,17.7883471733806
"orange","26","39","Hispanic",9.01313857392526,25.3256839467545
"orange","26","39","American_Indian",0.0326353790613718,33.1592920353982
"orange","26","39","Others",0.416827611364708,28.2939932620911
"orange","26","39","NorthSide",6,34.8333333333333
"orange","26","39","FarNorthSide",6,24
"orange","26","39","FarSoutheastSide",4,31.25
"orange","26","39","SouthSide",9,14
"orange","26","39","CentralChicago",9,27.3333333333333
"orange","26","39","FarSouthwestSide",0,NA
"orange","26","39","SouthwestSide",4,27.25
"orange","26","39","WestSide",1,55
"orange","26","39","NorthwestSide",0,NA
"green","23","26","White",14.3014575614122,22.4030000649466
"green","23","26","Black",3.18997780113457,32.4242648785997
"green","23","26","Asian",2.47449568925109,19.573420690758
"green","23","26","Hispanic",5.20074120628033,20.9236890111159
"green","23","26","American_Indian",0,NA
"green","23","26","Others",0.833327741921823,20.3026042938508
"green","23","26","NorthSide",6,17.1666666666667
"green","23","26","FarNorthSide",5,21.6
"green","23","26","FarSoutheastSide",0,NA
"green","23","26","SouthSide",0,NA
"green","23","26","CentralChicago",7,16.5714285714286
"green","23","26","FarSouthwestSide",2,48
"green","23","26","SouthwestSide",0,NA
"green","23","26","WestSide",6,29.1666666666667
"green","23","26","NorthwestSide",0,NA
"yellow","23.9285714285714","14","White",8.58039862811579,24.2432743775856
"yellow","23.9285714285714","14","Black",1.1114629511135,14.6562277991713
"yellow","23.9285714285714","14","Asian",2.62482570917458,20.9842019165785
"yellow","23.9285714285714","14","Hispanic",1.48489297687692,33.3292485821163
"yellow","23.9285714285714","14","American_Indian",0.0345519158011153,26.7274278485481
"yellow","23.9285714285714","14","Others",0.163867818918088,31.7296218627967
"yellow","23.9285714285714","14","NorthSide",3,41.6666666666667
"yellow","23.9285714285714","14","FarNorthSide",0,NA
"yellow","23.9285714285714","14","FarSoutheastSide",0,NA
"yellow","23.9285714285714","14","SouthSide",0,NA
"yellow","23.9285714285714","14","CentralChicago",8,23.375
"yellow","23.9285714285714","14","FarSouthwestSide",0,NA
"yellow","23.9285714285714","14","SouthwestSide",0,NA
"yellow","23.9285714285714","14","WestSide",3,7.66666666666667
"yellow","23.9285714285714","14","NorthwestSide",0,NA
"brown","NaN","0","White",0,NA
"brown","NaN","0","Black",0,NA
"brown","NaN","0","Asian",0,NA
"brown","NaN","0","Hispanic",0,NA
"brown","NaN","0","American_Indian",0,NA
"brown","NaN","0","Others",0,NA
"brown","NaN","0","NorthSide",0,NA
"brown","NaN","0","FarNorthSide",0,NA
"brown","NaN","0","FarSoutheastSide",0,NA
"brown","NaN","0","SouthSide",0,NA
"brown","NaN","0","CentralChicago",0,NA
"brown","NaN","0","FarSouthwestSide",0,NA
"brown","NaN","0","SouthwestSide",0,NA
"brown","NaN","0","WestSide",0,NA
"brown","NaN","0","NorthwestSide",0,NA
"all","25.0163043478261","184","White",95.4179529323422,25.7913728047691
"all","25.0163043478261","184","Black",23.9052521132311,29.7299150793243
"all","25.0163043478261","184","Asian",29.1558997947123,19.2260590639454
"all","25.0163043478261","184","Hispanic",30.9692616055598,24.721198635079
"all","25.0163043478261","184","American_Indian",0.268828594935918,22.211548446532
"all","25.0163043478261","184","Others",4.28280495921869,23.166469338201
"all color","25.0163043478261","184","purple",36,20.8888888888889
"all color","25.0163043478261","184","blue",69,28.3913043478261
"all color","25.0163043478261","184","orange",39,25.5384615384615
"all color","25.0163043478261","184","green",26,21.3846153846154
"all color","25.0163043478261","184","yellow",14,24.2857142857143
"all color","25.0163043478261","184","brown",0,NA
"all location","25.0163043478261","184","NorthSide",49,31.2448979591837
"all location","25.0163043478261","184","FarNorthSide",28,19.3571428571429
"all location","25.0163043478261","184","FarSoutheastSide",7,37.2857142857143
"all location","25.0163043478261","184","SouthSide",17,17.1764705882353
"all location","25.0163043478261","184","CentralChicago",46,21.6521739130435
"all location","25.0163043478261","184","FarSouthwestSide",5,44.4
"all location","25.0163043478261","184","SouthwestSide",6,27
"all location","25.0163043478261","184","WestSide",19,20.5263157894737
"all location","25.0163043478261","184","NorthwestSide",7,29.5714285714286
"default","27.4347826086957","184","White",95.4179529323422,29.1806456171589
"default","27.4347826086957","184","Black",23.9052521132311,26.4381192736999
"default","27.4347826086957","184","Asian",29.1558997947123,22.1160108277836
"default","27.4347826086957","184","Hispanic",30.9692616055598,27.6377825778065
"default","27.4347826086957","184","American_Indian",0.268828594935918,28.7045503698308
"default","27.4347826086957","184","Others",4.28280495921869,28.7620160512942
"default color","27.4347826086957","184","purple",36,25.0277777777778
"default color","27.4347826086957","184","blue",69,28.1884057971014
"default color","27.4347826086957","184","orange",39,29.8974358974359
"default color","27.4347826086957","184","green",26,23.6153846153846
"default color","27.4347826086957","184","yellow",14,30.1428571428571
"default color","27.4347826086957","184","brown",0,NA
"default location","27.4347826086957","184","NorthSide",49,29.6734693877551
