"color_cluster_list","mean_gain_list","violation_found_list","demographic_list","demographic_sums","demographic_gain_list"
"purple","27.1627906976744","43","White",25.0978768256209,28.9002998221806
"purple","27.1627906976744","43","Black",4.78486533856622,23.9772855446481
"purple","27.1627906976744","43","Asian",6.12240451634597,25.8951301521458
"purple","27.1627906976744","43","Hispanic",4.85928385385555,27.7244306757196
"purple","27.1627906976744","43","American_Indian",0.169440735820267,38.3961233351932
"purple","27.1627906976744","43","Others",0.966128729791112,21.9106876194401
"purple","27.1627906976744","43","NorthSide",4,37
"purple","27.1627906976744","43","FarNorthSide",14,23.8571428571429
"purple","27.1627906976744","43","FarSoutheastSide",0,NA
"purple","27.1627906976744","43","SouthSide",0,NA
"purple","27.1627906976744","43","CentralChicago",25,27.44
"purple","27.1627906976744","43","FarSouthwestSide",0,NA
"purple","27.1627906976744","43","SouthwestSide",0,NA
"purple","27.1627906976744","43","WestSide",0,NA
"purple","27.1627906976744","43","NorthwestSide",0,NA
"blue","30.1805555555556","72","White",32.2199345650156,27.1123717525984
"blue","30.1805555555556","72","Black",21.1561820973528,34.7148293115771
"blue","30.1805555555556","72","Asian",3.9236344984702,30.1927533260263
"blue","30.1805555555556","72","Hispanic",12.8810033116372,30.7127525984633
"blue","30.1805555555556","72","American_Indian",0.234952182406302,35.8087670823532
"blue","30.1805555555556","72","Others",1.5842933451178,26.8373035248191
"blue","30.1805555555556","72","NorthSide",32,31.46875
"blue","30.1805555555556","72","FarNorthSide",19,21.5789473684211
"blue","30.1805555555556","72","FarSoutheastSide",5,26.8
"blue","30.1805555555556","72","SouthSide",7,33.5714285714286
"blue","30.1805555555556","72","CentralChicago",0,NA
"blue","30.1805555555556","72","FarSouthwestSide",6,51.1666666666667
"blue","30.1805555555556","72","SouthwestSide",3,26.6666666666667
"blue","30.1805555555556","72","WestSide",0,NA
"blue","30.1805555555556","72","NorthwestSide",0,NA
"orange","31.2558139534884","43","White",16.9786550119048,32.4599226908287
"orange","31.2558139534884","43","Black",6.95995949470746,32.6548190182189
"orange","31.2558139534884","43","Asian",7.79774351251788,24.6948370434414
"orange","31.2558139534884","43","Hispanic",7.35406564623924,33.6962993991045
"orange","31.2558139534884","43","American_Indian",0.00726392251815981,49
"orange","31.2558139534884","43","Others",0.902312412112414,38.648717904647
"orange","31.2558139534884","43","NorthSide",6,36
"orange","31.2558139534884","43","FarNorthSide",8,27.375
"orange","31.2558139534884","43","FarSoutheastSide",3,29.6666666666667
"orange","31.2558139534884","43","SouthSide",7,15.8571428571429
"orange","31.2558139534884","43","CentralChicago",11,38
"orange","31.2558139534884","43","FarSouthwestSide",1,49
"orange","31.2558139534884","43","SouthwestSide",7,34.5714285714286
"orange","31.2558139534884","43","WestSide",0,NA
"orange","31.2558139534884","43","NorthwestSide",0,NA
"green","28.76","25","White",14.9761755833158,25.6866404371864
"green","28.76","25","Black",2.91158089327785,27.3795703483349
"green","28.76","25","Asian",1.9658743889458,26.5455200542302
"green","28.76","25","Hispanic",4.80344418918541,40.1978725350009
"green","28.76","25","American_Indian",0,NA
"green","28.76","25","Others",0.342924945275179,27.1812641265414
"green","28.76","25","NorthSide",1,43
"green","28.76","25","FarNorthSide",7,31.8571428571429
"green","28.76","25","FarSoutheastSide",0,NA
"green","28.76","25","SouthSide",0,NA
"green","28.76","25","CentralChicago",12,21.1666666666667
"green","28.76","25","FarSouthwestSide",0,NA
"green","28.76","25","SouthwestSide",0,NA
"green","28.76","25","WestSide",5,39.8
"green","28.76","25","NorthwestSide",0,NA
"yellow","34.7222222222222","18","White",11.7849941858385,34.2734404197797
"yellow","34.7222222222222","18","Black",1.48289982264614,39.6096083840062
"yellow","34.7222222222222","18","Asian",2.21108860510059,38.4932765757261
"yellow","34.7222222222222","18","Hispanic",2.13994622754696,29.7242080181781
