"color_cluster_list","mean_gain_list","violation_found_list","demographic_list","demographic_sums","demographic_gain_list"
"purple","22","44","White",27.7015035882881,21.613575290623
"purple","22","44","Black",5.52258859922096,26.1497402329952
"purple","22","44","Asian",3.87883501368119,21.8297816296984
"purple","22","44","Hispanic",5.50800566570544,19.3077890974346
"purple","22","44","American_Indian",0.146977681256166,8.65853470630066
"purple","22","44","Others",1.24208945184812,26.2163604866609
"purple","22","44","NorthSide",4,23.5
"purple","22","44","FarNorthSide",24,23.375
"purple","22","44","FarSoutheastSide",0,NA
"purple","22","44","SouthSide",0,NA
"purple","22","44","CentralChicago",15,18.4
"purple","22","44","FarSouthwestSide",0,NA
"purple","22","44","SouthwestSide",0,NA
"purple","22","44","WestSide",1,37
"purple","22","44","NorthwestSide",0,NA
"blue","26.1454545454545","110","White",59.9990484958839,23.161854498073
"blue","26.1454545454545","110","Black",13.923548953543,36.2496559995942
"blue","26.1454545454545","110","Asian",17.1510376258431,20.4996268844663
"blue","26.1454545454545","110","Hispanic",15.5723277463867,35.3521200049791
"blue","26.1454545454545","110","American_Indian",0.0490894968264354,18.5062935170498
"blue","26.1454545454545","110","Others",3.30494768151683,23.7745890503091
"blue","26.1454545454545","110","NorthSide",37,29.2702702702703
"blue","26.1454545454545","110","FarNorthSide",1,16
"blue","26.1454545454545","110","FarSoutheastSide",2,44.5
"blue","26.1454545454545","110","SouthSide",9,15.1111111111111
"blue","26.1454545454545","110","CentralChicago",27,13.6666666666667
"blue","26.1454545454545","110","FarSouthwestSide",0,NA
"blue","26.1454545454545","110","SouthwestSide",2,52
"blue","26.1454545454545","110","WestSide",29,32.9655172413793
"blue","26.1454545454545","110","NorthwestSide",2,54.5
"orange","32","46","White",10.6934347198486,29.066421471641
"orange","32","46","Black",8.31428914767906,28.9001630973224
"orange","32","46","Asian",2.01283524319449,27.564245694775
"orange","32","46","Hispanic",23.3314058985409,33.7648439943929
"orange","32","46","American_Indian",0.015233928739053,15.2333924324026
"orange","32","46","Others",0.632801061997903,32.2378996131818
"orange","32","46","NorthSide",0,NA
"orange","32","46","FarNorthSide",0,NA
"orange","32","46","FarSoutheastSide",0,NA
"orange","32","46","SouthSide",1,2
"orange","32","46","CentralChicago",2,16
"orange","32","46","FarSouthwestSide",7,40
"orange","32","46","SouthwestSide",2,54
"orange","32","46","WestSide",27,31.6666666666667
"orange","32","46","NorthwestSide",7,27.8571428571429
"green","26.375","40","White",19.1147474035318,26.4986695105828
"green","26.375","40","Black",2.76379840122536,27.7654278451005
"green","26.375","40","Asian",5.17746951876002,24.5117953378951
"green","26.375","40","Hispanic",11.8588105223971,25.8283388443173
"green","26.375","40","American_Indian",0.0301494884147975,20.5487915063227
"green","26.375","40","Others",1.05502466567089,35.9466434249421
"green","26.375","40","NorthSide",2,10.5
"green","26.375","40","FarNorthSide",27,27.5185185185185
"green","26.375","40","FarSoutheastSide",2,39
"green","26.375","40","SouthSide",1,1
"green","26.375","40","CentralChicago",8,26.5
"green","26.375","40","FarSouthwestSide",0,NA
"green","26.375","40","SouthwestSide",0,NA
"green","26.375","40","WestSide",0,NA
"green","26.375","40","NorthwestSide",0,NA
"yellow","23.7","20","White",7.86396560295256,26.9273185282344
"yellow","23.7","20","Black",3.45791534510325,8.11847193582464
"yellow","23.7","20","Asian",5.99753473726551,32.3871179106457
"yellow","23.7","20","Hispanic",2.18052525044422,14.0765935084706
"yellow","23.7","20","American_Indian",0.0302866414277988,12
"yellow","23.7","20","Others",0.469772422806667,18.8832553940406
"yellow","23.7","20","NorthSide",4,29.75
