"color_cluster_list","mean_gain_list","violation_found_list","demographic_list","demographic_sums","demographic_gain_list"
"blue","29.2072072072072","111","White",61.678530034226,27.9912512008018
"blue","29.2072072072072","111","Black",9.1946648665714,30.1564638115647
"blue","29.2072072072072","111","Asian",9.06435948805832,27.4548918598458
"blue","29.2072072072072","111","Hispanic",27.4519535858044,32.1766856047332
"blue","29.2072072072072","111","American_Indian",0.0381182059742863,20.9635554331974
"blue","29.2072072072072","111","Others",3.57237381936565,29.4731785411904
"orange","27.3817204301075","186","White",63.8385890965086,26.6383532994872
"orange","27.3817204301075","186","Black",47.9374849167786,19.9385648906901
"orange","27.3817204301075","186","Asian",9.65402697171271,26.6662850897369
"orange","27.3817204301075","186","Hispanic",62.1397341945528,34.0279602894608
"orange","27.3817204301075","186","American_Indian",0.10005121648833,35.5573511291603
"orange","27.3817204301075","186","Others",2.33011360395895,26.2465557025496
"brown","23.2323943661972","142","White",31.5292432482292,24.6005676515605
"brown","23.2323943661972","142","Black",33.7790142003548,19.949850308163
"brown","23.2323943661972","142","Asian",5.36869922927581,27.6517113238107
"brown","23.2323943661972","142","Hispanic",69.4663205680958,23.8288071233645
"brown","23.2323943661972","142","American_Indian",0.117726693334147,31.1865437993335
"brown","23.2323943661972","142","Others",1.73899606071019,24.1815828269266
"yellow","33.8606060606061","165","White",94.3840603616193,32.1662806565212
"yellow","33.8606060606061","165","Black",14.2356028488244,34.3446311801465
"yellow","33.8606060606061","165","Asian",23.4015566205072,38.7553467091025
"yellow","33.8606060606061","165","Hispanic",29.0983842135682,35.5170441216568
"yellow","33.8606060606061","165","American_Indian",0.0807998231906383,35.3886039263468
"yellow","33.8606060606061","165","Others",3.7995961322902,31.2706566741605
"green","24.9026548672566","226","White",107.473507535461,24.9378083842149
"green","24.9026548672566","226","Black",23.0706119054979,23.6482213551225
"green","24.9026548672566","226","Asian",46.062901478944,24.5614082002816
"green","24.9026548672566","226","Hispanic",44.2800335058013,25.6546911698768
"green","24.9026548672566","226","American_Indian",0.346380351937246,22.1657446513815
"green","24.9026548672566","226","Others",4.76656522235857,26.6920162625572
"purple","29.6969696969697","66","White",49.9124005704797,28.8915563007862
"purple","29.6969696969697","66","Black",3.33805422720418,33.9114582800142
"purple","29.6969696969697","66","Asian",5.53338988653732,30.4561745862385
"purple","29.6969696969697","66","Hispanic",5.19992528727823,34.1107601271234
"purple","29.6969696969697","66","American_Indian",0.0024621878297573,21
"purple","29.6969696969697","66","Others",2.01376784067083,29.2008753069086
"all","27.6886160714286","896","White",408.816330846524,24.7971191879615
"all","27.6886160714286","896","Black",131.555432965231,28.7188770214103
"all","27.6886160714286","896","Asian",99.0849336750354,28.81598200815
"all","27.6886160714286","896","Hispanic",237.636351355101,31.824028500827
"all","27.6886160714286","896","American_Indian",0.685538478754405,32.6893556677873
"all","27.6886160714286","896","Others",18.2214126793544,24.8730946162325
"all color","27.6886160714286","896","blue",111,6.77477477477477
"all color","27.6886160714286","896","orange",186,17.9354838709677
"all color","27.6886160714286","896","brown",142,51.4647887323944
"all color","27.6886160714286","896","yellow",165,41.2060606060606
"all color","27.6886160714286","896","green",226,28.9247787610619
"all color","27.6886160714286","896","purple",66,1.16666666666667
"default","27.6886160714286","896","White",408.816330846524,28.4341660745405
"default","27.6886160714286","896","Black",131.555432965231,26.637455053717
"default","27.6886160714286","896","Asian",99.0849336750354,30.0285939915788
"default","27.6886160714286","896","Hispanic",237.636351355101,26.0711935069291
"default","27.6886160714286","896","American_Indian",0.685538478754405,24.0627481736889
"default","27.6886160714286","896","Others",18.2214126793544,27.0564168909589
"default color","27.6886160714286","896","blue",111,29.2072072072072
"default color","27.6886160714286","896","orange",186,27.3817204301075
"default color","27.6886160714286","896","brown",142,23.2323943661972
"default color","27.6886160714286","896","yellow",165,33.8606060606061
"default color","27.6886160714286","896","green",226,24.9026548672566
"default color","27.6886160714286","896","purple",66,29.6969696969697
