"color_cluster_list","mean_gain_list","violation_found_list","demographic_list","demographic_sums","demographic_gain_list"
"blue","NaN","0","White",0,NA
"blue","NaN","0","Black",0,NA
"blue","NaN","0","Asian",0,NA
"blue","NaN","0","Hispanic",0,NA
"blue","NaN","0","American_Indian",0,NA
"blue","NaN","0","Others",0,NA
"orange","NaN","0","White",0,NA
"orange","NaN","0","Black",0,NA
"orange","NaN","0","Asian",0,NA
"orange","NaN","0","Hispanic",0,NA
"orange","NaN","0","American_Indian",0,NA
"orange","NaN","0","Others",0,NA
"brown","-16.6666666666667","3","White",1.65726787880524,-13.8378765045318
"brown","-16.6666666666667","3","Black",0.850360039089958,-21.5376656159052
"brown","-16.6666666666667","3","Asian",0.0204915636485132,-15.5878936105167
"brown","-16.6666666666667","3","Hispanic",0.47188051845629,-17.8705009832551
"brown","-16.6666666666667","3","American_Indian",0,NA
"brown","-16.6666666666667","3","Others",0,NA
"yellow","NaN","0","White",0,NA
"yellow","NaN","0","Black",0,NA
"yellow","NaN","0","Asian",0,NA
"yellow","NaN","0","Hispanic",0,NA
"yellow","NaN","0","American_Indian",0,NA
"yellow","NaN","0","Others",0,NA
"green","NaN","0","White",0,NA
"green","NaN","0","Black",0,NA
"green","NaN","0","Asian",0,NA
"green","NaN","0","Hispanic",0,NA
"green","NaN","0","American_Indian",0,NA
"green","NaN","0","Others",0,NA
"purple","NaN","0","White",0,NA
"purple","NaN","0","Black",0,NA
"purple","NaN","0","Asian",0,NA
"purple","NaN","0","Hispanic",0,NA
"purple","NaN","0","American_Indian",0,NA
"purple","NaN","0","Others",0,NA
"all","-16.6666666666667","3","White",1.65726787880524,-13.8378765045318
"all","-16.6666666666667","3","Black",0.850360039089958,-21.5376656159052
"all","-16.6666666666667","3","Asian",0.0204915636485132,-15.5878936105167
"all","-16.6666666666667","3","Hispanic",0.47188051845629,-17.8705009832551
"all","-16.6666666666667","3","American_Indian",0,NA
"all","-16.6666666666667","3","Others",0,NA
