"color_cluster_list","mean_gain_list","violation_found_list","demographic_list","demographic_sums","demographic_gain_list"
"blue","NaN","0","White",0,NA
"blue","NaN","0","Black",0,NA
"blue","NaN","0","Asian",0,NA
"blue","NaN","0","Hispanic",0,NA
"blue","NaN","0","American_Indian",0,NA
"blue","NaN","0","Others",0,NA
"orange","NaN","0","White",0,NA
"orange","NaN","0","Black",0,NA
"orange","NaN","0","Asian",0,NA
"orange","NaN","0","Hispanic",0,NA
"orange","NaN","0","American_Indian",0,NA
"orange","NaN","0","Others",0,NA
"brown","NaN","0","White",0,NA
"brown","NaN","0","Black",0,NA
"brown","NaN","0","Asian",0,NA
"brown","NaN","0","Hispanic",0,NA
"brown","NaN","0","American_Indian",0,NA
"brown","NaN","0","Others",0,NA
"yellow","NaN","0","White",0,NA
"yellow","NaN","0","Black",0,NA
"yellow","NaN","0","Asian",0,NA
"yellow","NaN","0","Hispanic",0,NA
"yellow","NaN","0","American_Indian",0,NA
"yellow","NaN","0","Others",0,NA
"green","NaN","0","White",0,NA
"green","NaN","0","Black",0,NA
"green","NaN","0","Asian",0,NA
"green","NaN","0","Hispanic",0,NA
"green","NaN","0","American_Indian",0,NA
"green","NaN","0","Others",0,NA
"purple","-0.25","56","White",36.6114251940819,3.55704740620246
"purple","-0.25","56","Black",6.17357795476231,-17.5665741840712
"purple","-0.25","56","Asian",3.75585021748073,7.99806882125154
"purple","-0.25","56","Hispanic",7.84385092984849,-8.46960259772638
"purple","-0.25","56","American_Indian",0.00888742147461711,2.97350717802899
"purple","-0.25","56","Others",1.60640828235194,0.36626117053098
"all","-0.25","56","White",36.6114251940819,3.55704740620246
"all","-0.25","56","Black",6.17357795476231,-17.5665741840712
"all","-0.25","56","Asian",3.75585021748073,7.99806882125154
"all","-0.25","56","Hispanic",7.84385092984849,-8.46960259772638
"all","-0.25","56","American_Indian",0.00888742147461711,2.97350717802899
"all","-0.25","56","Others",1.60640828235194,0.36626117053098
