"color_cluster_list","mean_gain_list","violation_found_list","demographic_list","demographic_sums","demographic_gain_list"
"blue","NaN","0","White",0,NA
"blue","NaN","0","Black",0,NA
"blue","NaN","0","Asian",0,NA
"blue","NaN","0","Hispanic",0,NA
"blue","NaN","0","American_Indian",0,NA
"blue","NaN","0","Others",0,NA
"orange","NaN","0","White",0,NA
"orange","NaN","0","Black",0,NA
"orange","NaN","0","Asian",0,NA
"orange","NaN","0","Hispanic",0,NA
"orange","NaN","0","American_Indian",0,NA
"orange","NaN","0","Others",0,NA
"brown","NaN","0","White",0,NA
"brown","NaN","0","Black",0,NA
"brown","NaN","0","Asian",0,NA
"brown","NaN","0","Hispanic",0,NA
"brown","NaN","0","American_Indian",0,NA
"brown","NaN","0","Others",0,NA
"yellow","22.5","6","White",2.2371742522838,17.8977590035439
"yellow","22.5","6","Black",2.89159556645896,27.6020360304092
"yellow","22.5","6","Asian",0.405218375198009,9.08108742028079
"yellow","22.5","6","Hispanic",0.429490834572169,24.7097300723371
"yellow","22.5","6","American_Indian",0,NA
"yellow","22.5","6","Others",0.0365209714870583,23.3631050292092
"green","NaN","0","White",0,NA
"green","NaN","0","Black",0,NA
"green","NaN","0","Asian",0,NA
"green","NaN","0","Hispanic",0,NA
"green","NaN","0","American_Indian",0,NA
"green","NaN","0","Others",0,NA
"purple","NaN","0","White",0,NA
"purple","NaN","0","Black",0,NA
"purple","NaN","0","Asian",0,NA
"purple","NaN","0","Hispanic",0,NA
"purple","NaN","0","American_Indian",0,NA
"purple","NaN","0","Others",0,NA
"all","22.5","6","White",2.2371742522838,17.8977590035439
"all","22.5","6","Black",2.89159556645896,27.6020360304092
"all","22.5","6","Asian",0.405218375198009,9.08108742028079
"all","22.5","6","Hispanic",0.429490834572169,24.7097300723371
"all","22.5","6","American_Indian",0,NA
"all","22.5","6","Others",0.0365209714870583,23.3631050292092
