"color_cluster_list","mean_gain_list","violation_found_list","demographic_list","demographic_sums","demographic_gain_list"
"purple","21.75","44","White",27.7015035882881,21.444077247613
"purple","21.75","44","Black",5.52258859922096,23.1499070556541
"purple","21.75","44","Asian",3.87883501368119,19.6805271358653
"purple","21.75","44","Hispanic",5.50800566570544,22.8589161838408
"purple","21.75","44","American_Indian",0.146977681256166,8.2104611074505
"purple","21.75","44","Others",1.24208945184812,25.4958225606265
"purple","21.75","44","NorthSide",4,21.75
"purple","21.75","44","FarNorthSide",24,24.4583333333333
"purple","21.75","44","FarSoutheastSide",0,NA
"purple","21.75","44","SouthSide",0,NA
"purple","21.75","44","CentralChicago",15,15.6
"purple","21.75","44","FarSouthwestSide",0,NA
"purple","21.75","44","SouthwestSide",0,NA
"purple","21.75","44","WestSide",1,49
"purple","21.75","44","NorthwestSide",0,NA
"blue","26.7818181818182","110","White",59.9990484958839,24.2711430257687
"blue","26.7818181818182","110","Black",13.923548953543,32.7552269227077
"blue","26.7818181818182","110","Asian",17.1510376258431,22.9070141121236
"blue","26.7818181818182","110","Hispanic",15.5723277463867,35.7661075192943
"blue","26.7818181818182","110","American_Indian",0.0490894968264354,17.9758008115303
"blue","26.7818181818182","110","Others",3.30494768151683,25.1025076781143
"blue","26.7818181818182","110","NorthSide",37,27.8108108108108
"blue","26.7818181818182","110","FarNorthSide",1,21
"blue","26.7818181818182","110","FarSoutheastSide",2,51.5
"blue","26.7818181818182","110","SouthSide",9,17.1111111111111
"blue","26.7818181818182","110","CentralChicago",27,16.4074074074074
"blue","26.7818181818182","110","FarSouthwestSide",0,NA
"blue","26.7818181818182","110","SouthwestSide",2,55
"blue","26.7818181818182","110","WestSide",29,33.0689655172414
"blue","26.7818181818182","110","NorthwestSide",2,56.5
"orange","32.9565217391304","46","White",10.6934347198486,27.0052649338353
"orange","32.9565217391304","46","Black",8.31428914767906,30.0525242732418
"orange","32.9565217391304","46","Asian",2.01283524319449,26.7622924490224
"orange","32.9565217391304","46","Hispanic",23.3314058985409,36.5232163376395
"orange","32.9565217391304","46","American_Indian",0.015233928739053,19.2447896495272
"orange","32.9565217391304","46","Others",0.632801061997903,31.6945448404304
"orange","32.9565217391304","46","NorthSide",0,NA
"orange","32.9565217391304","46","FarNorthSide",0,NA
