"color_cluster_list","mean_gain_list","violation_found_list","demographic_list","demographic_sums","demographic_gain_list"
"blue","29.2","60","White",25.7049390396195,27.3867472079969
"blue","29.2","60","Black",16.6051428905209,35.5348739371723
"blue","29.2","60","Asian",3.58586473717762,23.9709174660417
"blue","29.2","60","Hispanic",11.4664749440827,26.7882755848659
"blue","29.2","60","American_Indian",0.00570703868103995,13
"blue","29.2","60","Others",2.63187134991831,24.6083165320424
"orange","26.4827586206897","29","White",3.33355715518949,31.7128602484858
"orange","26.4827586206897","29","Black",16.3235314519308,21.7869528529796
"orange","26.4827586206897","29","Asian",1.65324112457059,25.7451936316963
"orange","26.4827586206897","29","Hispanic",7.36403215190051,34.2644388279922
"orange","26.4827586206897","29","American_Indian",0.0505760244289878,46.398670488504
"orange","26.4827586206897","29","Others",0.275062091979657,34.2077501187316
"brown","28.6666666666667","3","White",1.65726787880524,36.9636785199763
"brown","28.6666666666667","3","Black",0.850360039089958,2.08978819108066
"brown","28.6666666666667","3","Asian",0.0204915636485132,44.7495159482319
"brown","28.6666666666667","3","Hispanic",0.47188051845629,46.7220453523596
"brown","28.6666666666667","3","American_Indian",0,NA
"brown","28.6666666666667","3","Others",0,NA
"yellow","20.7391304347826","23","White",13.4627365303455,21.6394399213504
"yellow","20.7391304347826","23","Black",1.65484658289572,18.9213291327036
"yellow","20.7391304347826","23","Asian",3.10860274343714,18.918455011926
"yellow","20.7391304347826","23","Hispanic",4.15050726996695,19.9890292475069
"yellow","20.7391304347826","23","American_Indian",0.0618399090840708,6.53014662370965
"yellow","20.7391304347826","23","Others",0.561466964270584,21.6996360503695
"green","20.1764705882353","17","White",7.79251473313793,18.0843043731912
"green","20.1764705882353","17","Black",2.85451690931681,17.32534050971
"green","20.1764705882353","17","Asian",1.12902682397325,19.2791671834153
"green","20.1764705882353","17","Hispanic",4.94794078127887,25.1395475894858
"green","20.1764705882353","17","American_Indian",0.00960384153661465,21
"green","20.1764705882353","17","Others",0.266396910756524,23.5173297010059
"purple","29.5483870967742","31","White",13.9065236285054,26.9501182014278
"purple","29.5483870967742","31","Black",5.33646788231308,28.8994250484383
"purple","29.5483870967742","31","Asian",5.97300093559505,29.7532755068135
"purple","29.5483870967742","31","Hispanic",4.40604067202207,36.4571178694442
"purple","29.5483870967742","31","American_Indian",0.154041223164799,28.661230015795
"purple","29.5483870967742","31","Others",1.22392565839959,36.1409151472787
"all","26.8895705521472","163","White",65.8575389656031,25.8456606938044
"all","26.8895705521472","163","Black",43.6248657560672,27.7008209842669
"all","26.8895705521472","163","Asian",15.4702279284022,24.0796447541653
"all","26.8895705521472","163","Hispanic",32.8068763377074,29.3284212992126
"all","26.8895705521472","163","American_Indian",0.281768036895512,25.9037634239871
"all","26.8895705521472","163","Others",4.95872297532467,26.3038410393284
"all color","26.8895705521472","163","blue",60,28.0666666666667
"all color","26.8895705521472","163","orange",29,29.8965517241379
"all color","26.8895705521472","163","brown",3,39
"all color","26.8895705521472","163","yellow",23,25.3478260869565
"all color","26.8895705521472","163","green",17,23
"all color","26.8895705521472","163","purple",31,23.9032258064516
"default","32.9631901840491","163","White",65.8575389656031,33.8848868852676
"default","32.9631901840491","163","Black",43.6248657560672,30.1482333825118
"default","32.9631901840491","163","Asian",15.4702279284022,31.8945146855439
"default","32.9631901840491","163","Hispanic",32.8068763377074,35.1466618227629
"default","32.9631901840491","163","American_Indian",0.281768036895512,31.5765303645777
"default","32.9631901840491","163","Others",4.95872297532467,34.4538808554939
"default color","32.9631901840491","163","blue",60,33.45
"default color","32.9631901840491","163","orange",29,26.3793103448276
"default color","32.9631901840491","163","brown",3,22.6666666666667
"default color","32.9631901840491","163","yellow",23,33.1304347826087
"default color","32.9631901840491","163","green",17,39.6470588235294
"default color","32.9631901840491","163","purple",31,35.3870967741936
