"color_cluster_list","mean_gain_list","violation_found_list","demographic_list","demographic_sums","demographic_gain_list"
"purple","28.625","80","White",42.7441599629429,26.8972180192965
"purple","28.625","80","Black",10.2279136783447,29.8335281600294
"purple","28.625","80","Asian",13.9752013399039,29.1621622825493
"purple","28.625","80","Hispanic",10.3466793805898,33.0533516674996
"purple","28.625","80","American_Indian",0.328455976174297,27.5032816042392
"purple","28.625","80","Others",2.37758966204448,32.2146088267972
"purple","28.625","80","NorthSide",0,NA
"purple","28.625","80","FarNorthSide",36,33.5833333333333
"purple","28.625","80","FarSoutheastSide",0,NA
"purple","28.625","80","SouthSide",2,12
"purple","28.625","80","CentralChicago",42,25.1666666666667
"purple","28.625","80","FarSouthwestSide",0,NA
"purple","28.625","80","SouthwestSide",0,NA
"purple","28.625","80","WestSide",0,NA
"purple","28.625","80","NorthwestSide",0,NA
"blue","29.6976744186047","258","White",115.325863296092,28.4867654977624
"blue","29.6976744186047","258","Black",64.7743114297778,35.3447418137372
"blue","29.6976744186047","258","Asian",17.3098612938669,25.9431212419426
"blue","29.6976744186047","258","Hispanic",52.0162580008128,27.2001153588562
"blue","29.6976744186047","258","American_Indian",0.297625799067107,24.5407660658971
"blue","29.6976744186047","258","Others",8.27608018038339,26.1094436742025
"blue","29.6976744186047","258","NorthSide",78,25.1153846153846
"blue","29.6976744186047","258","FarNorthSide",87,28.0114942528736
"blue","29.6976744186047","258","FarSoutheastSide",11,32
"blue","29.6976744186047","258","SouthSide",39,29.3589743589744
"blue","29.6976744186047","258","CentralChicago",0,NA
"blue","29.6976744186047","258","FarSouthwestSide",19,39.3684210526316
"blue","29.6976744186047","258","SouthwestSide",24,42.5416666666667
"blue","29.6976744186047","258","WestSide",0,NA
"blue","29.6976744186047","258","NorthwestSide",0,NA
"orange","30.3321167883212","274","White",60.3952724895667,28.9610532795031
"orange","30.3321167883212","274","Black",89.639564734231,26.1466069055126
"orange","30.3321167883212","274","Asian",20.3802376069533,36.9721449114322
"orange","30.3321167883212","274","Hispanic",89.7056230422476,32.169428166941
"orange","30.3321167883212","274","American_Indian",0.281780700169224,40.1104840517796
"orange","30.3321167883212","274","Others",4.59752142683224,31.0029611690952
"orange","30.3321167883212","274","NorthSide",17,18.5882352941176
"orange","30.3321167883212","274","FarNorthSide",26,38.5384615384615
"orange","30.3321167883212","274","FarSoutheastSide",54,33.0555555555556
"orange","30.3321167883212","274","SouthSide",65,24.7384615384615
"orange","30.3321167883212","274","CentralChicago",17,26
"orange","30.3321167883212","274","FarSouthwestSide",5,32
