"color_cluster_list","mean_gain_list","violation_found_list","demographic_list","demographic_sums","demographic_gain_list"
"purple","28.3243243243243","37","White",25.0870198457998,28.0364277507999
"purple","28.3243243243243","37","Black",2.78073571559256,26.0605921461405
"purple","28.3243243243243","37","Asian",3.12499250584106,31.0141904475828
"purple","28.3243243243243","37","Hispanic",4.51567191957825,30.1640784730389
"purple","28.3243243243243","37","American_Indian",0.00540865384615385,5
"purple","28.3243243243243","37","Others",1.48617135934214,26.2585622320495
"purple","28.3243243243243","37","NorthSide",25,26.72
"purple","28.3243243243243","37","FarNorthSide",11,34.5454545454545
"purple","28.3243243243243","37","FarSoutheastSide",0,NA
"purple","28.3243243243243","37","SouthSide",0,NA
"purple","28.3243243243243","37","CentralChicago",1,0
"purple","28.3243243243243","37","FarSouthwestSide",0,NA
"purple","28.3243243243243","37","SouthwestSide",0,NA
"purple","28.3243243243243","37","WestSide",0,NA
"purple","28.3243243243243","37","NorthwestSide",0,NA
"blue","25.5294117647059","34","White",19.8777363255212,24.3810885876128
"blue","25.5294117647059","34","Black",3.18465774426752,24.7953199494787
"blue","25.5294117647059","34","Asian",3.40942832325456,24.305031694601
"blue","25.5294117647059","34","Hispanic",6.18803688739967,29.2702777857565
"blue","25.5294117647059","34","American_Indian",0.0262347515063902,45.8007218598529
"blue","25.5294117647059","34","Others",1.3139059680507,29.8355820919557
"blue","25.5294117647059","34","NorthSide",25,26.16
"blue","25.5294117647059","34","FarNorthSide",4,23.25
"blue","25.5294117647059","34","FarSoutheastSide",1,32
"blue","25.5294117647059","34","SouthSide",4,22.25
"blue","25.5294117647059","34","CentralChicago",0,NA
"blue","25.5294117647059","34","FarSouthwestSide",0,NA
"blue","25.5294117647059","34","SouthwestSide",0,NA
"blue","25.5294117647059","34","WestSide",0,NA
"blue","25.5294117647059","34","NorthwestSide",0,NA
"orange","26.3055555555556","36","White",8.07268377175459,22.1326552383405
"orange","26.3055555555556","36","Black",15.4646303427409,25.0013141580313
"orange","26.3055555555556","36","Asian",1.2493600826953,25.6892991995256
"orange","26.3055555555556","36","Hispanic",10.8049651558304,31.687677615034
"orange","26.3055555555556","36","American_Indian",0.0063441712926249,6
"orange","26.3055555555556","36","Others",0.402016475686146,17.8512315520963
"orange","26.3055555555556","36","NorthSide",0,NA
"orange","26.3055555555556","36","FarNorthSide",3,4.66666666666667
"orange","26.3055555555556","36","FarSoutheastSide",7,28.2857142857143
