Start Date,End Date,Num,Default Ordering,NorthSide,FarNorthSide,FarSoutheastSide,SouthSide,CentralChicago,FarSouthwestSide,SouthwestSide,WestSide,NorthwestSide,Original Model Ordering,NorthSide,FarNorthSide,FarSoutheastSide,SouthSide,CentralChicago,FarSouthwestSide,SouthwestSide,WestSide,NorthwestSide,In-cluster Ordering,NorthSide,FarNorthSide,FarSoutheastSide,SouthSide,CentralChicago,FarSouthwestSide,SouthwestSide,WestSide,NorthwestSide,No-Sanitarian Model Overall,NorthSide,FarNorthSide,FarSoutheastSide,SouthSide,CentralChicago,FarSouthwestSide,SouthwestSide,WestSide,NorthwestSide,Suppressed Sanitarian Model,NorthSide,FarNorthSide,FarSoutheastSide,SouthSide,CentralChicago,FarSouthwestSide,SouthwestSide,WestSide,NorthwestSide,Baseline Fairlogloss Model-DP-Overall-SanMaj,NorthSide,FarNorthSide,FarSoutheastSide,SouthSide,CentralChicago,FarSouthwestSide,SouthwestSide,WestSide,NorthwestSide,Baseline Fairlogloss Model-DP-Overall-SanMaj-C0.5,NorthSide,FarNorthSide,FarSoutheastSide,SouthSide,CentralChicago,FarSouthwestSide,SouthwestSide,WestSide,NorthwestSide,Baseline Fairlogloss Model-EqOpp-Overall-SanMaj,NorthSide,FarNorthSide,FarSoutheastSide,SouthSide,CentralChicago,FarSouthwestSide,SouthwestSide,WestSide,NorthwestSide,Baseline Zafar c0.001,NorthSide,FarNorthSide,FarSoutheastSide,SouthSide,CentralChicago,FarSouthwestSide,SouthwestSide,WestSide,NorthwestSide,Baseline Krishnaswamy Preds,NorthSide,FarNorthSide,FarSoutheastSide,SouthSide,CentralChicago,FarSouthwestSide,SouthwestSide,WestSide,NorthwestSide
2014-09-01,2014-10-31,1665,29.88649,30.42378,29.20606,19.8,23.55285,35.43706,31.46512,32.63636,27.94839,29.80952,29.88649,25.65244,38.09091,35,34.01626,20.27622,30.18605,45.64935,24.63226,39.07937,29.88649,28.32012,32.27879,27.275,24.57724,27.03846,34.62791,35.42857,29.20968,28.14286,29.88649,26.84756,35.80909,31.025,24.08943,22.39161,38.23256,40.46753,29.70323,35.95238,29.88649,28.09756,33.90606,29.4,25.02439,26.57692,35.90698,38.58442,29.28387,30.7619,29.88649,25.20732,29.16667,31.675,24.74797,19.11888,55.37209,37.66234,35.02581,47.11905,29.88649,26.09451,34.12727,37.975,24.87805,25.04895,43.53488,29.2987,31.55484,33.95238,29.88649,25.05793,37.8,35.7,32.78862,18.77273,35.02326,45.11688,26.35806,40.25397,29.88649,35.05183,30.02727,25.925,22.90244,30.15035,30.25581,33.66234,27.37419,27.46825,29.88649,27.10976,34.48788,27.25,27.79675,23.87063,37.2093,39.19481,29.90968,33.68254
2014-07-02,2014-08-31,0,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-02,2014-07-01,0,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-03-02,2014-05-01,1095,19.78721,18.71676,19.85659,19.625,16.52941,22.35429,22.31818,20.80556,17.33136,19.18367,19.78721,20.3526,19.56202,19.04167,30.80392,11.42286,16.48864,28.42593,20.34911,22.69388,19.78721,15.3526,18.77132,26.16667,16.54902,18.12571,20.89773,23.9537,21.11243,19.10204,19.78721,13.22543,18.84109,27.25,17.31373,16,24.80682,26.76852,23.20118,24.20408,19.78721,15.63584,18.36047,25.75,18.11765,17.53143,23.22727,25.77778,22.06509,21.59184,19.78721,17.63584,17.03876,19.08333,20.90196,14.36,31.06818,18.85185,24.78107,25,19.78721,16.41618,20.34109,23.70833,14.72549,17.80571,24.97727,19.65741,22.51479,20.7551,19.78721,18.87283,19.11628,18.91667,29.43137,11.16571,19.47727,27.98148,21.86391,23.06122,19.78721,23.78035,16.39922,23.08333,18.45098,15.54286,20.03409,22.5,22.40237,23.02041,19.78721,16.23699,20.70155,26.875,22.70588,19.44,23.60227,22.78704,17.13018,17.93878
2013-12-31,2014-03-01,1313,32.74486,34.88716,31.14815,41.67568,31.47273,29.45669,36.28125,34.44444,33.34343,32.26136,32.74486,32.68482,33.98889,30.94595,46.70909,20.92913,27.29688,48.83333,32.12626,44.13636,32.74486,30.66148,31.9963,36.37838,29.92727,31.50394,31.26562,33.72222,30.74242,34.625,32.74486,27.32296,32.14815,36.27027,32.14545,28.81496,40.10938,42.64444,34.09596,42.125,32.74486,29.88327,30.65185,32.86486,33.47273,30.3937,36.57812,39.76667,34.5101,39.86364,32.74486,29.7821,26.95926,32.83784,32.25455,24.04331,55.65625,39.07778,41.40909,41.89773,32.74486,32.94553,37.27037,36.05405,23.92727,35.30315,39.42188,25.36667,27.76263,28.90909,32.74486,31.52529,32.88148,30.97297,45.52727,20.40945,32.35938,49.57778,33.49495,45.625,32.74486,35.49805,28.0963,32.54054,35.2,28.29134,30.59375,36.68889,36.5101,39.43182,32.74486,29.24514,32.94074,31.54054,32.61818,32.19291,37.625,39.35556,31.86869,36.20455
2013-10-31,2013-12-30,1124,26.98754,26.89726,23.65094,26.46479,23.5814,29.10364,30.94737,31.51351,22.19149,28.82716,26.98754,20.57534,17.21698,13.4507,10.65116,29.18487,26.63158,17.37838,39.04787,43.07407,26.98754,27.22603,27.28302,23.07042,24.65116,27.19328,31.64912,29.45946,24.92553,29.34568,26.98754,21.60274,27.13208,23.97183,23.90698,24.71429,34.03509,33.17568,28.28723,37.24691,26.98754,26.17808,25.9434,22.26761,22.51163,27.89916,30.7193,29.12162,25.25532,31.8642,26.98754,23.02055,22.69811,36.95775,23.97674,22.56303,32.14035,43.60811,26.75,33.91358,26.98754,21.28082,30.16038,30.73239,22.53488,27.61345,34.14035,37.40541,23.27128,23.75309,26.98754,19.90411,17.98113,16.04225,12.44186,28.07003,28.07018,22.22973,37.35106,43.53086,26.98754,37.75342,21.01887,19.11268,18.34884,29.17087,27.85965,23.51351,24.72872,25.23457,26.98754,26.22603,28.93396,24.57746,24.93023,24.22409,33.33333,31.68919,27.89894,30.40741
2013-08-31,2013-10-30,1401,28.95717,33.00535,26.67914,32.95652,20.14474,26.50556,27.31579,27.35294,29.46789,37.2037,28.95717,30.16845,21.44385,18.08696,20.18421,31.88611,25.75439,23.27451,35.79817,24.7963,28.95717,25.80214,29.63636,23.78261,26.76316,30.21111,29.36842,34.70588,29.94495,35.66667,28.95717,22.36096,32.83957,30.82609,34.63158,28.00278,26.57895,41.35294,30.1789,44.66667,28.95717,25.40642,29.63102,25.78261,29.21053,29.82222,27.47368,37.98039,29.87156,35.90741,28.95717,26.90642,29.39572,41.91304,41.01316,24.225,29.35088,42.62745,30.33486,32.11111,28.95717,27.32888,32.01604,37.26087,37.90789,27.425,30.63158,39.17647,26.32569,23.35185,28.95717,29.26738,22.82888,23.82609,24.25,30.73611,24.21053,30.70588,34.65596,25.03704,28.95717,34.02139,25.57219,28.52174,22.82895,24.56111,33.73684,30.68627,30.23394,32.14815,28.95717,26.14706,32.5508,33.95652,34.55263,23.69722,29.4386,38.98039,30.51835,45.03704
2013-07-01,2013-08-30,1232,32.11282,35.33197,30.39163,27.10714,33.15556,32.78462,36.77273,31.67391,32.17895,24.10145,32.11282,27.12705,24.47909,20.71429,20.97778,34.21538,19.81818,25.04348,46.98421,48.50725,32.11282,28.36475,30.9962,25.85714,30.44444,33.83692,33.63636,36.13043,34.91579,34.24638,32.11282,26.56967,32.03802,31.42857,32.44444,30.64,29.86364,43.6087,37.31579,37.72464,32.11282,27.64754,31.06844,28.71429,32.24444,33.85846,30.63636,39.95652,34.47895,33.68116,32.11282,23.91393,27.3384,43.03571,41.8,34.24923,16.63636,51.23913,35.48947,41.37681,32.11282,28.56148,35.5019,34.07143,40.66667,31.63385,30.04545,42.6087,28.22632,32,32.11282,27.04508,25.02281,24.10714,23.68889,33.37846,19.18182,30.84783,45.16316,48.86957,32.11282,31.47951,31.5057,29.89286,28.2,30.91077,44.40909,33.76087,33.80526,36.10145,32.11282,29.17213,33.70722,32.17857,33.13333,28.26769,27.40909,44.32609,35.33684,38.33333
2013-05-01,2013-06-30,1384,29.55708,28.18841,29.71127,30.87234,29.74713,29.96875,29.37879,26.40449,32.76087,29.69355,29.55708,27.24155,18.15141,20.18085,15.47126,31.425,40.63636,30.01685,43.31522,47.15323,29.55708,27.72464,30.7007,26.09574,23.91954,29.61875,35.39394,31.1236,29.96739,29.78226,29.55708,26.10145,30.76056,29.69149,25.54023,21.98125,35.43939,36.6236,29.94022,31.21774,29.55708,27.08213,31.13028,28.37234,24.86207,29.73125,33.81818,32.54494,29.00543,28.31452,29.55708,24.62319,23.95775,34.78723,32.36782,29.78125,26.36364,36.3764,30.86413,34.3629,29.55708,28.60386,29.90845,34.12766,34.1954,23.99375,24.07576,33.88202,28.33152,29.33065,29.55708,27.03382,18.25704,23.34043,16.49425,29.79375,38.54545,31.76966,42.5163,46.03226,29.55708,28.7971,28.73592,32.94681,23.52874,30.225,32.12121,30.05056,29.8913,30.93548,29.55708,25.52657,32.33803,26.15957,28.22989,22.2125,31.22727,34.74719,31.47826,31.70968
2013-03-01,2013-04-30,1350,30.98815,32.75,34.05556,27.64615,32.17757,27.53886,30.60215,32.94706,26.92523,34.02479,30.98815,27,17.79293,22.24615,17.93458,31.23316,45.4086,26.2,44.66822,45.95868,30.98815,24.01596,30.91414,31.6,26.95327,24.18653,30.54839,31.75294,29.36916,22.7686,30.98815,25.89894,29.07576,34.78462,27.59813,19.80311,41.05376,37.97059,37.40654,32.00826,30.98815,26.54787,30.94949,32.50769,27.57009,27.93782,37.33333,33.5,35.23364,29.19835,30.98815,25.49468,22.84848,46.67692,34.01869,24.97409,28.39785,40.05294,34.44393,34.58678,30.98815,29.56383,31.9798,36.92308,34.82243,26.80829,23.96774,38.69412,31.30841,25.84298,30.98815,26.60638,17.80303,26.2,19.86916,29.17098,44.01075,28.27059,44.85047,43.90083,30.98815,28.40426,33.68687,28.38462,25.8785,35.13472,31.73118,27.79412,34.23364,28.12397,30.98815,30.09043,30.94444,30.93846,29.57944,24.32124,35.97849,33.5,32.96262,33.66116
