Start Date,End Date,Num,Default Ordering,None,$,$$,$$$,$$$$,Original Model Ordering,None,$,$$,$$$,$$$$
2014-09-01,2014-10-31,1665,28.38023,25.01515,30.63636,28.47253,28,21,20.79087,23.83333,22.88889,16.92308,13.16667,10
2014-07-02,2014-08-31,0,NaN,NA,NA,NA,NA,NA,NaN,NA,,,,
2014-05-02,2014-07-01,0,NaN,NA,NA,NA,NA,NA,NaN,NA,,,,
2014-03-02,2014-05-01,1095,19.90148,19.02222,19.63636,19.42857,27.8,34,11.75369,15.02222,12.15584,10.02857,7.1,1
2013-12-31,2014-03-01,1313,32.97015,36.67742,28.64179,35.39062,21.125,NA,22.57214,27.58065,24.79104,16.35938,14.875,NA
2013-10-31,2013-12-30,1124,28.92157,28.67391,29.4,27.57895,32.14286,NA,17.14706,16.54348,23,12.26316,9.285714,NA
2013-08-31,2013-10-30,1401,27.43478,25.42857,28.53571,27.59155,29.84615,17.5,15.5163,14.85714,16.51786,14.56338,18.46154,16
2013-07-01,2013-08-30,1232,31.91133,31.47368,32.03448,31.75641,34.11111,42,19.12315,20.14035,18.03448,18.98718,20.22222,25
2013-05-01,2013-06-30,1384,28.46352,30,28.98864,26.12987,39.66667,NA,19.27468,17.78462,17.97727,21.75325,26,NA
2013-03-01,2013-04-30,1350,32.96319,33.03636,33.66071,31.58824,60,NA,19.43558,18.09091,20.25,20.37255,0,NA
2012-12-30,2013-02-28,1131,32.45,30.8,33.43662,31.29545,35.2,NA,18.51429,25.1,17.66197,16.22727,24.4,NA
2012-10-30,2012-12-29,896,25.81481,28.08,24.7,25.59574,23.66667,NA,13.9537,19.72,14.83333,10.55319,12.16667,NA
2012-08-30,2012-10-29,953,31.08108,31.17647,30.40909,31.44,33.33333,NA,19.2027,24.80392,17.65909,14.7,21.66667,NA
2012-06-30,2012-08-29,826,29.62774,32.65854,30.18,27.4186,10.66667,NA,21.23358,24.39024,21.8,16.7907,32.33333,NA
2012-04-30,2012-06-29,932,30.63889,32.80556,33.95238,25.81356,45.66667,8,18.02778,21.13889,13.92857,18.76271,17.33333,39
2012-02-29,2012-04-29,968,26.59259,28.51515,27.11765,24.89583,28.5,14,16.0963,19.75758,16.19608,13.5,17,13
2011-12-30,2012-02-28,815,26.14912,21.17391,26.81818,28.29412,27,30,13.17544,14.47826,13.94545,11.14706,6,17
2011-10-30,2011-12-29,874,23.75,24.2973,24.52632,21.57895,19.25,28.5,16.55,15.18919,18.18421,18.10526,8.75,11.5
2011-08-30,2011-10-29,822,27.11579,29.02222,22.43478,26.17391,38,NA,22.54737,22.37778,18.82609,25.26087,30.25,NA
